coname,gvkey,fyear,cusip,exchange,ticker,datadate,fyr,cik,date,formtype,datefiled,filepath
AIR PRODUCTS & CHEMICALS INC,1209,2018,915810,NYS,APD,30-Sep-18,9,2969,30-Sep-18,DEF 14A,12/12/18,https://www.sec.gov/Archives/edgar/data/2969/0001206774-18-003394.txt
AIR PRODUCTS & CHEMICALS INC,1209,2019,915810,NYS,APD,30-Sep-19,9,2969,30-Sep-19,DEF 14A,12/11/19,https://www.sec.gov/Archives/edgar/data/2969/0001206774-19-003839.txt
AIR PRODUCTS & CHEMICALS INC,1209,2020,915810,NYS,APD,30-Sep-20,9,2969,30-Sep-20,DEF 14A,12/09/20,https://www.sec.gov/Archives/edgar/data/2969/0001206774-20-003150.txt
AKORN INC,14304,2017,972810,OTH,AKRXQ,31-Dec-17,12,3116,31-Dec-17,DEF 14A,11/21/18,https://www.sec.gov/Archives/edgar/data/3116/0001308179-18-000277.txt
AKORN INC,14304,2018,972810,OTH,AKRXQ,31-Dec-18,12,3116,31-Dec-18,DEF 14A,3/22/19,https://www.sec.gov/Archives/edgar/data/3116/0001308179-19-000054.txt
MATSON INC,1254,2017,57686G10,NYS,MATX,31-Dec-17,12,3453,31-Dec-17,DEF 14A,03/12/18,https://www.sec.gov/Archives/edgar/data/3453/0001558370-18-001909.txt
MATSON INC,1254,2018,57686G10,NYS,MATX,31-Dec-18,12,3453,31-Dec-18,DEF 14A,03/11/19,https://www.sec.gov/Archives/edgar/data/3453/0001558370-19-001768.txt
MATSON INC,1254,2019,57686G10,NYS,MATX,31-Dec-19,12,3453,31-Dec-19,DEF 14A,03/10/20,https://www.sec.gov/Archives/edgar/data/3453/0001558370-20-002272.txt
SKYWORKS SOLUTIONS INC,1327,2017,83088M10,NAS,SWKS,30-Sep-17,9,4127,30-Sep-17,DEF 14A,04/02/18,https://www.sec.gov/Archives/edgar/data/4127/0001047469-18-002445.txt
SKYWORKS SOLUTIONS INC,1327,2018,83088M10,NAS,SWKS,30-Sep-18,9,4127,30-Sep-18,DEF 14A,3/29/19,https://www.sec.gov/Archives/edgar/data/4127/0001047469-19-001747.txt
SKYWORKS SOLUTIONS INC,1327,2019,83088M10,NAS,SWKS,30-Sep-19,9,4127,30-Sep-19,DEF 14A,3/27/20,https://www.sec.gov/Archives/edgar/data/4127/0001047469-20-001845.txt
HOWMET AEROSPACE INC,28192,2017,44320110,NYS,HWM,31-Dec-17,12,4281,31-Dec-17,DEF 14A,3/28/18,https://www.sec.gov/Archives/edgar/data/4281/0001144204-18-017610.txt
HOWMET AEROSPACE INC,28192,2018,44320110,NYS,HWM,31-Dec-18,12,4281,31-Dec-18,DEF 14A,3/28/19,https://www.sec.gov/Archives/edgar/data/4281/0001144204-19-016383.txt
HOWMET AEROSPACE INC,28192,2019,44320110,NYS,HWM,31-Dec-19,12,4281,31-Dec-19,DEF 14A,4/29/20,https://www.sec.gov/Archives/edgar/data/4281/0001104659-20-053271.txt
HESS CORP,1380,2017,42809H10,NYS,HES,31-Dec-17,12,4447,31-Dec-17,DEF 14A,4/27/18,https://www.sec.gov/Archives/edgar/data/4447/0001193125-18-139213.txt
HESS CORP,1380,2018,42809H10,NYS,HES,31-Dec-18,12,4447,31-Dec-18,DEF 14A,4/25/19,https://www.sec.gov/Archives/edgar/data/4447/0001193125-19-119907.txt
HESS CORP,1380,2019,42809H10,NYS,HES,31-Dec-19,12,4447,31-Dec-19,DEF 14A,4/24/20,https://www.sec.gov/Archives/edgar/data/4447/0001193125-20-119090.txt
AMERICAN ELECTRIC POWER CO,1440,2017,2553710,NAS,AEP,31-Dec-17,12,4904,31-Dec-17,DEF 14A,3/14/18,https://www.sec.gov/Archives/edgar/data/4904/0001193125-18-081340.txt
AMERICAN ELECTRIC POWER CO,1440,2018,2553710,NAS,AEP,31-Dec-18,12,4904,31-Dec-18,DEF 14A,3/13/19,https://www.sec.gov/Archives/edgar/data/4904/0001193125-19-072746.txt
AMERICAN ELECTRIC POWER CO,1440,2019,2553710,NAS,AEP,31-Dec-19,12,4904,31-Dec-19,DEF 14A,03/11/20,https://www.sec.gov/Archives/edgar/data/4904/0000004904-20-000026.txt
AMERICAN EXPRESS CO,1447,2017,2581610,NYS,AXP,31-Dec-17,12,4962,31-Dec-17,DEF 14A,3/19/18,https://www.sec.gov/Archives/edgar/data/4962/0001206774-18-000866.txt
AMERICAN EXPRESS CO,1447,2018,2581610,NYS,AXP,31-Dec-18,12,4962,31-Dec-18,DEF 14A,3/15/19,https://www.sec.gov/Archives/edgar/data/4962/0001206774-19-000869.txt
AMERICAN EXPRESS CO,1447,2019,2581610,NYS,AXP,31-Dec-19,12,4962,31-Dec-19,DEF 14A,3/24/20,https://www.sec.gov/Archives/edgar/data/4962/0001193125-20-083487.txt
AFLAC INC,1449,2017,105510,NYS,AFL,31-Dec-17,12,4977,31-Dec-17,DEF 14A,3/23/18,https://www.sec.gov/Archives/edgar/data/4977/0001206774-18-000917.txt
AFLAC INC,1449,2018,105510,NYS,AFL,31-Dec-18,12,4977,31-Dec-18,DEF 14A,3/22/19,https://www.sec.gov/Archives/edgar/data/4977/0001206774-19-000982.txt
AFLAC INC,1449,2019,105510,NYS,AFL,31-Dec-19,12,4977,31-Dec-19,DEF 14A,3/19/20,https://www.sec.gov/Archives/edgar/data/4977/0001206774-20-000847.txt
AMERICAN INTERNATIONAL GROUP,1487,2017,2687478,NYS,AIG,31-Dec-17,12,5272,31-Dec-17,DEF 14A,3/27/18,https://www.sec.gov/Archives/edgar/data/5272/0001571049-18-000196.txt
AMERICAN INTERNATIONAL GROUP,1487,2018,2687478,NYS,AIG,31-Dec-18,12,5272,31-Dec-18,DEF 14A,04/02/19,https://www.sec.gov/Archives/edgar/data/5272/0001144204-19-017752.txt
AMERICAN INTERNATIONAL GROUP,1487,2019,2687478,NYS,AIG,31-Dec-19,12,5272,31-Dec-19,DEF 14A,3/31/20,https://www.sec.gov/Archives/edgar/data/5272/0001104659-20-041186.txt
UNUM GROUP,12726,2017,91529Y10,NYS,UNM,31-Dec-17,12,5513,31-Dec-17,DEF 14A,04/12/18,https://www.sec.gov/Archives/edgar/data/5513/0000005513-18-000042.txt
UNUM GROUP,12726,2018,91529Y10,NYS,UNM,31-Dec-18,12,5513,31-Dec-18,DEF 14A,04/11/19,https://www.sec.gov/Archives/edgar/data/5513/0001140361-19-006919.txt
UNUM GROUP,12726,2019,91529Y10,NYS,UNM,31-Dec-19,12,5513,31-Dec-19,DEF 14A,4/16/20,https://www.sec.gov/Archives/edgar/data/5513/0001140361-20-008995.txt
AMERICAN VANGUARD CORP,1585,2017,3037110,NYS,AVD,31-Dec-17,12,5981,31-Dec-17,DEF 14A,4/23/18,https://www.sec.gov/Archives/edgar/data/5981/0001564590-18-008702.txt
AMERICAN VANGUARD CORP,1585,2018,3037110,NYS,AVD,31-Dec-18,12,5981,31-Dec-18,DEF 14A,4/22/19,https://www.sec.gov/Archives/edgar/data/5981/0001193125-19-113396.txt
AMERICAN VANGUARD CORP,1585,2019,3037110,NYS,AVD,31-Dec-19,12,5981,31-Dec-19,DEF 14A,4/21/20,https://www.sec.gov/Archives/edgar/data/5981/0001564590-20-017730.txt
AMERICAN AIRLINES GROUP INC,1045,2017,02376R10,NAS,AAL,31-Dec-17,12,6201,31-Dec-17,DEF 14A,4/30/18,https://www.sec.gov/Archives/edgar/data/6201/0001193125-18-140891.txt
AMERICAN AIRLINES GROUP INC,1045,2018,02376R10,NAS,AAL,31-Dec-18,12,6201,31-Dec-18,DEF 14A,4/29/19,https://www.sec.gov/Archives/edgar/data/6201/0001193125-19-125401.txt
AMERICAN AIRLINES GROUP INC,1045,2019,02376R10,NAS,AAL,31-Dec-19,12,6201,31-Dec-19,DEF 14A,4/28/20,https://www.sec.gov/Archives/edgar/data/6201/0001193125-20-123363.txt
ANALOG DEVICES,1632,2017,3265410,NAS,ADI,31-Oct-17,10,6281,31-Oct-17,DEF 14A,1/26/18,https://www.sec.gov/Archives/edgar/data/6281/0001193125-18-020549.txt
ANALOG DEVICES,1632,2018,3265410,NAS,ADI,31-Oct-18,10,6281,31-Oct-18,DEF 14A,1/25/19,https://www.sec.gov/Archives/edgar/data/6281/0001193125-19-016431.txt
ANALOG DEVICES,1632,2019,3265410,NAS,ADI,31-Oct-19,10,6281,31-Oct-19,DEF 14A,1/24/20,https://www.sec.gov/Archives/edgar/data/6281/0001193125-20-013584.txt
ANALOG DEVICES,1632,2020,3265410,NAS,ADI,31-Oct-20,10,6281,31-Oct-20,DEF 14A,1/22/21,https://www.sec.gov/Archives/edgar/data/6281/0001193125-21-014177.txt
ANALOGIC CORP,1633,2017,3265720,NAS,ALOG,31-Jul-17,7,6284,31-Jul-17,DEF 14A,11/02/17,https://www.sec.gov/Archives/edgar/data/6284/0001193125-17-330311.txt
APOGEE ENTERPRISES INC,1686,2017,3759810,NAS,APOG,28-Feb-18,2,6845,28-Feb-17,DEF 14A,05/08/17,https://www.sec.gov/Archives/edgar/data/6845/0001193125-17-162579.txt
APOGEE ENTERPRISES INC,1686,2018,3759810,NAS,APOG,28-Feb-19,2,6845,28-Feb-18,DEF 14A,5/15/18,https://www.sec.gov/Archives/edgar/data/6845/0001193125-18-162887.txt
APOGEE ENTERPRISES INC,1686,2019,3759810,NAS,APOG,29-Feb-20,2,6845,28-Feb-19,DEF 14A,12/19/19,https://www.sec.gov/Archives/edgar/data/6845/0001193125-19-318530.txt
STAGE STORES INC,63874,2017,85254C30,OTH,SSINQ,31-Jan-18,1,6885,31-Jan-17,DEF 14A,4/21/17,https://www.sec.gov/Archives/edgar/data/6885/0000006885-17-000113.txt
STAGE STORES INC,63874,2018,85254C30,OTH,SSINQ,31-Jan-19,1,6885,31-Jan-18,DEF 14A,4/26/18,https://www.sec.gov/Archives/edgar/data/6885/0000006885-18-000153.txt
APPLIED MATERIALS INC,1704,2017,3822210,NAS,AMAT,31-Oct-17,10,6951,31-Oct-17,DEF 14A,1/25/18,https://www.sec.gov/Archives/edgar/data/6951/0001193125-18-019840.txt
APPLIED MATERIALS INC,1704,2018,3822210,NAS,AMAT,31-Oct-18,10,6951,31-Oct-18,DEF 14A,1/24/19,https://www.sec.gov/Archives/edgar/data/6951/0001193125-19-015977.txt
APPLIED MATERIALS INC,1704,2019,3822210,NAS,AMAT,31-Oct-19,10,6951,31-Oct-19,DEF 14A,1/30/20,https://www.sec.gov/Archives/edgar/data/6951/0001193125-20-019693.txt
ENERPAC TOOL GROUP CORP,1706,2017,29276510,NYS,EPAC,31-Aug-17,8,6955,31-Aug-17,DEF 14A,12/04/17,https://www.sec.gov/Archives/edgar/data/6955/0000006955-17-000041.txt
ENERPAC TOOL GROUP CORP,1706,2018,29276510,NYS,EPAC,31-Aug-18,8,6955,31-Aug-18,DEF 14A,12/03/18,https://www.sec.gov/Archives/edgar/data/6955/0000006955-18-000045.txt
ENERPAC TOOL GROUP CORP,1706,2019,29276510,NYS,EPAC,31-Aug-19,8,6955,31-Aug-19,DEF 14A,12/13/19,https://www.sec.gov/Archives/edgar/data/6955/0000006955-19-000042.txt
ENERPAC TOOL GROUP CORP,1706,2020,29276510,NYS,EPAC,31-Aug-20,8,6955,31-Aug-20,DEF 14A,12/04/20,https://www.sec.gov/Archives/edgar/data/6955/0000006955-20-000052.txt
ARCHER-DANIELS-MIDLAND CO,1722,2017,3948310,NYS,ADM,31-Dec-17,12,7084,31-Dec-17,DEF 14A,3/23/18,https://www.sec.gov/Archives/edgar/data/7084/0001193125-18-092897.txt
ARCHER-DANIELS-MIDLAND CO,1722,2018,3948310,NYS,ADM,31-Dec-18,12,7084,31-Dec-18,DEF 14A,3/22/19,https://www.sec.gov/Archives/edgar/data/7084/0001193125-19-082754.txt
ARCHER-DANIELS-MIDLAND CO,1722,2019,3948310,NYS,ADM,31-Dec-19,12,7084,31-Dec-19,DEF 14A,3/25/20,https://www.sec.gov/Archives/edgar/data/7084/0001193125-20-084320.txt
SOUTHWESTERN ENERGY CO,9904,2017,84546710,NYS,SWN,31-Dec-17,12,7332,31-Dec-17,DEF 14A,04/12/18,https://www.sec.gov/Archives/edgar/data/7332/0001206774-18-001179.txt
SOUTHWESTERN ENERGY CO,9904,2018,84546710,NYS,SWN,31-Dec-18,12,7332,31-Dec-18,DEF 14A,04/11/19,https://www.sec.gov/Archives/edgar/data/7332/0001206774-19-001295.txt
SOUTHWESTERN ENERGY CO,9904,2019,84546710,NYS,SWN,31-Dec-19,12,7332,31-Dec-19,DEF 14A,04/09/20,https://www.sec.gov/Archives/edgar/data/7332/0001206774-20-001113.txt
ARROW ELECTRONICS INC,1773,2017,4273510,NYS,ARW,31-Dec-17,12,7536,31-Dec-17,DEF 14A,3/28/18,https://www.sec.gov/Archives/edgar/data/7536/0001558370-18-002431.txt
ARROW ELECTRONICS INC,1773,2018,4273510,NYS,ARW,31-Dec-18,12,7536,31-Dec-18,DEF 14A,3/27/19,https://www.sec.gov/Archives/edgar/data/7536/0001558370-19-002460.txt
ARROW ELECTRONICS INC,1773,2019,4273510,NYS,ARW,31-Dec-19,12,7536,31-Dec-19,DEF 14A,04/01/20,https://www.sec.gov/Archives/edgar/data/7536/0001558370-20-003483.txt
ASSOCIATED BANC-CORP,11842,2017,4548710,NYS,ASB,31-Dec-17,12,7789,31-Dec-17,DEF 14A,3/13/18,https://www.sec.gov/Archives/edgar/data/7789/0001047469-18-001577.txt
ASSOCIATED BANC-CORP,11842,2018,4548710,NYS,ASB,31-Dec-18,12,7789,31-Dec-18,DEF 14A,3/15/19,https://www.sec.gov/Archives/edgar/data/7789/0001047469-19-001279.txt
ASSOCIATED BANC-CORP,11842,2019,4548710,NYS,ASB,31-Dec-19,12,7789,31-Dec-19,DEF 14A,3/13/20,https://www.sec.gov/Archives/edgar/data/7789/0000007789-20-000018.txt
AUTOMATIC DATA PROCESSING,1891,2018,5301510,NAS,ADP,30-Jun-18,6,8670,30-Jun-18,DEF 14A,9/20/18,https://www.sec.gov/Archives/edgar/data/8670/0001206774-18-002805.txt
AUTOMATIC DATA PROCESSING,1891,2019,5301510,NAS,ADP,30-Jun-19,6,8670,30-Jun-19,DEF 14A,9/26/19,https://www.sec.gov/Archives/edgar/data/8670/0001206774-19-003299.txt
AUTOMATIC DATA PROCESSING,1891,2020,5301510,NAS,ADP,30-Jun-20,6,8670,30-Jun-20,DEF 14A,9/24/20,https://www.sec.gov/Archives/edgar/data/8670/0001206774-20-002764.txt
AVERY DENNISON CORP,1913,2017,5361110,NYS,AVY,31-Dec-17,12,8818,31-Dec-17,DEF 14A,3/15/18,https://www.sec.gov/Archives/edgar/data/8818/0001047469-18-001691.txt
AVERY DENNISON CORP,1913,2018,5361110,NYS,AVY,31-Dec-18,12,8818,31-Dec-18,DEF 14A,03/08/19,https://www.sec.gov/Archives/edgar/data/8818/0001047469-19-001005.txt
AVERY DENNISON CORP,1913,2019,5361110,NYS,AVY,31-Dec-19,12,8818,31-Dec-19,DEF 14A,03/06/20,https://www.sec.gov/Archives/edgar/data/8818/0001047469-20-001261.txt
AVNET INC,1919,2017,5380710,NAS,AVT,30-Jun-17,6,8858,30-Jun-17,DEF 14A,9/26/17,https://www.sec.gov/Archives/edgar/data/8858/0001193125-17-293199.txt
AVNET INC,1919,2018,5380710,NAS,AVT,30-Jun-18,6,8858,30-Jun-18,DEF 14A,10/04/18,https://www.sec.gov/Archives/edgar/data/8858/0001047469-18-006562.txt
AVNET INC,1919,2019,5380710,NAS,AVT,30-Jun-19,6,8858,30-Jun-19,DEF 14A,9/30/19,https://www.sec.gov/Archives/edgar/data/8858/0001047469-19-005525.txt
AVNET INC,1919,2020,5380710,NAS,AVT,30-Jun-20,6,8858,30-Jun-20,DEF 14A,10/02/20,https://www.sec.gov/Archives/edgar/data/8858/0001047469-20-005067.txt
AVON PRODUCTS,1920,2017,5430310,NYS,AVP,31-Dec-17,12,8868,31-Dec-17,DEF 14A,04/04/18,https://www.sec.gov/Archives/edgar/data/8868/0001193125-18-107312.txt
AVON PRODUCTS,1920,2018,5430310,NYS,AVP,31-Dec-18,12,8868,31-Dec-18,DEF 14A,04/02/19,https://www.sec.gov/Archives/edgar/data/8868/0001193125-19-095612.txt
AZZ INC,1926,2017,247410,NYS,AZZ,28-Feb-18,2,8947,28-Feb-17,DEF 14A,5/24/17,https://www.sec.gov/Archives/edgar/data/8947/0000008947-17-000077.txt
AZZ INC,1926,2018,247410,NYS,AZZ,28-Feb-19,2,8947,28-Feb-18,DEF 14A,5/25/18,https://www.sec.gov/Archives/edgar/data/8947/0000008947-18-000094.txt
AZZ INC,1926,2019,247410,NYS,AZZ,29-Feb-20,2,8947,28-Feb-19,DEF 14A,5/28/19,https://www.sec.gov/Archives/edgar/data/8947/0000008947-19-000107.txt
BADGER METER INC,1968,2018,5652510,NYS,BMI,31-Dec-18,12,9092,31-Dec-18,DEF 14A,3/20/19,https://www.sec.gov/Archives/edgar/data/9092/0001564590-19-008588.txt
BALCHEM CORP  -CL B,1979,2017,5766520,NAS,BCPC,31-Dec-17,12,9326,31-Dec-17,DEF 14A,05/01/18,https://www.sec.gov/Archives/edgar/data/9326/0001140361-18-020578.txt
BALCHEM CORP  -CL B,1979,2018,5766520,NAS,BCPC,31-Dec-18,12,9326,31-Dec-18,DEF 14A,4/29/19,https://www.sec.gov/Archives/edgar/data/9326/0001140361-19-007796.txt
BALCHEM CORP  -CL B,1979,2019,5766520,NAS,BCPC,31-Dec-19,12,9326,31-Dec-19,DEF 14A,4/27/20,https://www.sec.gov/Archives/edgar/data/9326/0001140361-20-009796.txt
BALL CORP,1988,2017,5849810,NYS,BLL,31-Dec-17,12,9389,31-Dec-17,DEF 14A,3/14/18,https://www.sec.gov/Archives/edgar/data/9389/0001144204-18-014563.txt
BALL CORP,1988,2018,5849810,NYS,BLL,31-Dec-18,12,9389,31-Dec-18,DEF 14A,03/12/19,https://www.sec.gov/Archives/edgar/data/9389/0001047469-19-001127.txt
BALL CORP,1988,2019,5849810,NYS,BLL,31-Dec-19,12,9389,31-Dec-19,DEF 14A,3/16/20,https://www.sec.gov/Archives/edgar/data/9389/0001047469-20-001526.txt
BARNES GROUP INC,2049,2017,6780610,NYS,B,31-Dec-17,12,9984,31-Dec-17,DEF 14A,3/23/18,https://www.sec.gov/Archives/edgar/data/9984/0001206774-18-000914.txt
BARNES GROUP INC,2049,2018,6780610,NYS,B,31-Dec-18,12,9984,31-Dec-18,DEF 14A,3/22/19,https://www.sec.gov/Archives/edgar/data/9984/0001206774-19-000980.txt
BARNES GROUP INC,2049,2019,6780610,NYS,B,31-Dec-19,12,9984,31-Dec-19,DEF 14A,3/27/20,https://www.sec.gov/Archives/edgar/data/9984/0001206774-20-000952.txt
BASSETT FURNITURE INDS,2080,2017,7020310,NAS,BSET,30-Nov-17,11,10329,30-Nov-17,DEF 14A,02/05/18,https://www.sec.gov/Archives/edgar/data/10329/0001437749-18-001640.txt
BASSETT FURNITURE INDS,2080,2018,7020310,NAS,BSET,30-Nov-18,11,10329,30-Nov-18,DEF 14A,02/04/19,https://www.sec.gov/Archives/edgar/data/10329/0001437749-19-001791.txt
BASSETT FURNITURE INDS,2080,2019,7020310,NAS,BSET,30-Nov-19,11,10329,30-Nov-19,DEF 14A,02/10/20,https://www.sec.gov/Archives/edgar/data/10329/0001437749-20-002157.txt
BAXTER INTERNATIONAL INC,2086,2017,7181310,NYS,BAX,31-Dec-17,12,10456,31-Dec-17,DEF 14A,3/23/18,https://www.sec.gov/Archives/edgar/data/10456/0001193125-18-094261.txt
BAXTER INTERNATIONAL INC,2086,2018,7181310,NYS,BAX,31-Dec-18,12,10456,31-Dec-18,DEF 14A,3/26/19,https://www.sec.gov/Archives/edgar/data/10456/0001193125-19-086724.txt
BAXTER INTERNATIONAL INC,2086,2019,7181310,NYS,BAX,31-Dec-19,12,10456,31-Dec-19,DEF 14A,3/17/20,https://www.sec.gov/Archives/edgar/data/10456/0001193125-20-075453.txt
BECTON DICKINSON & CO,2111,2017,7588710,NYS,BDX,30-Sep-17,9,10795,30-Sep-17,DEF 14A,12/14/17,https://www.sec.gov/Archives/edgar/data/10795/0001193125-17-368925.txt
BECTON DICKINSON & CO,2111,2018,7588710,NYS,BDX,30-Sep-18,9,10795,30-Sep-18,DEF 14A,12/03/18,https://www.sec.gov/Archives/edgar/data/10795/0000010795-18-000039.txt
BECTON DICKINSON & CO,2111,2020,7588710,NYS,BDX,30-Sep-20,9,10795,30-Sep-20,DEF 14A,12/17/20,https://www.sec.gov/Archives/edgar/data/10795/0000010795-20-000064.txt
BEMIS CO INC,2154,2017,8143710,NYS,BMS,31-Dec-17,12,11199,31-Dec-17,DEF 14A,3/23/18,https://www.sec.gov/Archives/edgar/data/11199/0001308179-18-000074.txt
BERKLEY (W R) CORP,14822,2017,8442310,NYS,WRB,31-Dec-17,12,11544,31-Dec-17,DEF 14A,4/19/18,https://www.sec.gov/Archives/edgar/data/11544/0001193125-18-122833.txt
BERKLEY (W R) CORP,14822,2018,8442310,NYS,WRB,31-Dec-18,12,11544,31-Dec-18,DEF 14A,4/26/19,https://www.sec.gov/Archives/edgar/data/11544/0001193125-19-121960.txt
BERKLEY (W R) CORP,14822,2019,8442310,NYS,WRB,31-Dec-19,12,11544,31-Dec-19,DEF 14A,4/27/20,https://www.sec.gov/Archives/edgar/data/11544/0001193125-20-121082.txt
BIO-RAD LABORATORIES INC,2220,2017,9057220,NYS,BIO,31-Dec-17,12,12208,31-Dec-17,DEF 14A,05/04/18,https://www.sec.gov/Archives/edgar/data/12208/0001308179-18-000239.txt
BIO-RAD LABORATORIES INC,2220,2018,9057220,NYS,BIO,31-Dec-18,12,12208,31-Dec-18,DEF 14A,04/04/19,https://www.sec.gov/Archives/edgar/data/12208/0001308179-19-000113.txt
BIO-RAD LABORATORIES INC,2220,2019,9057220,NYS,BIO,31-Dec-19,12,12208,31-Dec-19,DEF 14A,04/01/20,https://www.sec.gov/Archives/edgar/data/12208/0001308179-20-000115.txt
BLOCK H & R INC,2269,2017,9367110,NYS,HRB,30-Apr-18,4,12659,30-Apr-17,DEF 14A,08/02/17,https://www.sec.gov/Archives/edgar/data/12659/0001193125-17-245918.txt
BLOCK H & R INC,2269,2018,9367110,NYS,HRB,30-Apr-19,4,12659,30-Apr-18,DEF 14A,08/01/18,https://www.sec.gov/Archives/edgar/data/12659/0001193125-18-235058.txt
BLOCK H & R INC,2269,2019,9367110,NYS,HRB,30-Apr-20,4,12659,30-Apr-19,DEF 14A,7/31/19,https://www.sec.gov/Archives/edgar/data/12659/0001140361-19-013881.txt
BOEING CO,2285,2017,9702310,NYS,BA,31-Dec-17,12,12927,31-Dec-17,DEF 14A,3/16/18,https://www.sec.gov/Archives/edgar/data/12927/0001193125-18-085720.txt
BOEING CO,2285,2018,9702310,NYS,BA,31-Dec-18,12,12927,31-Dec-18,DEF 14A,3/15/19,https://www.sec.gov/Archives/edgar/data/12927/0001193125-19-076793.txt
BOEING CO,2285,2019,9702310,NYS,BA,31-Dec-19,12,12927,31-Dec-19,DEF 14A,3/13/20,https://www.sec.gov/Archives/edgar/data/12927/0001193125-20-072864.txt
BRIGGS & STRATTON,2393,2017,10904310,OTH,BGGSQ,30-Jun-17,6,14195,30-Jun-17,DEF 14A,09/08/17,https://www.sec.gov/Archives/edgar/data/14195/0000014195-17-000020.txt
BRIGGS & STRATTON,2393,2018,10904310,OTH,BGGSQ,30-Jun-18,6,14195,30-Jun-18,DEF 14A,09/07/18,https://www.sec.gov/Archives/edgar/data/14195/0000014195-18-000033.txt
BRIGGS & STRATTON,2393,2019,10904310,OTH,BGGSQ,30-Jun-19,6,14195,30-Jun-19,DEF 14A,09/09/19,https://www.sec.gov/Archives/edgar/data/14195/0000014195-19-000030.txt
BRISTOL-MYERS SQUIBB CO,2403,2017,11012210,NYS,BMY,31-Dec-17,12,14272,31-Dec-17,DEF 14A,3/22/18,https://www.sec.gov/Archives/edgar/data/14272/0001047469-18-002011.txt
BRISTOL-MYERS SQUIBB CO,2403,2018,11012210,NYS,BMY,31-Dec-18,12,14272,31-Dec-18,DEF 14A,4/30/19,https://www.sec.gov/Archives/edgar/data/14272/0001047469-19-002763.txt
BRISTOL-MYERS SQUIBB CO,2403,2019,11012210,NYS,BMY,31-Dec-19,12,14272,31-Dec-19,DEF 14A,3/25/20,https://www.sec.gov/Archives/edgar/data/14272/0001140361-20-006834.txt
BROWN FORMAN CORP,2435,2017,11563720,NYS,BF.B,30-Apr-18,4,14693,30-Apr-17,DEF 14A,6/27/17,https://www.sec.gov/Archives/edgar/data/14693/0001672764-17-000076.txt
BROWN FORMAN CORP,2435,2018,11563720,NYS,BF.B,30-Apr-19,4,14693,30-Apr-18,DEF 14A,6/26/18,https://www.sec.gov/Archives/edgar/data/14693/0001672764-18-000017.txt
BROWN FORMAN CORP,2435,2019,11563720,NYS,BF.B,30-Apr-20,4,14693,30-Apr-19,DEF 14A,6/25/19,https://www.sec.gov/Archives/edgar/data/14693/0001672764-19-000005.txt
CALERES INC,2436,2017,12950010,NYS,CAL,31-Jan-18,1,14707,31-Jan-17,DEF 14A,4/14/17,https://www.sec.gov/Archives/edgar/data/14707/0001193125-17-124194.txt
CALERES INC,2436,2018,12950010,NYS,CAL,31-Jan-19,1,14707,31-Jan-18,DEF 14A,4/19/18,https://www.sec.gov/Archives/edgar/data/14707/0001193125-18-122417.txt
